model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
sequence_unfitted,all,610,0.13992612330843696,0.03083116809940368,0.389092186127667,0.17531825679733695,1.0573750413634573,0.35621065220568177,0.35952428465815905,0.32627179573732285,all_common
sequence_unfitted,kish_ge_5,604,0.14041531273335925,0.030997885059207343,0.39054533817168996,0.17647145006549167,1.060670614541882,0.3495901684107377,0.36068371582665726,0.3295129062910049,all_common
sequence_unfitted,kish_lt_5,6,0.09068105453292596,0.014048327479168262,0.2428082136960136,0.059230134469761046,0.725620674735363,,0.2428082136960136,0.0,all_common
sequence_unfitted,origin:literature_and_population,79,0.17229995946828058,0.044421304092921145,0.23902414329717275,0.07725728030110378,2.1429141815124155,0.34547951583767944,0.3795437777090068,0.5075954154937892,all_common
sequence_unfitted,origin:literature_only,163,0.1959788477888358,0.05178989715925605,0.5776740605979135,0.3473631785139892,1.4160084544698082,0.014025493042855868,0.3989165697087437,0.9750046477040343,all_common
sequence_unfitted,origin:population_only,368,0.10814860388742431,0.01863037032700201,0.3377784085324464,0.12016471033915244,0.6654868935153516,,0.3377784085324464,0.0,all_common
am_fit,all,242,0.11122644181584802,0.021089230677171677,0.3517726988561015,0.1452718933488577,1.3109090594627308,0.2799324940466677,0.5469135667567367,0.8224206421477972,original_242
am_fit,kish_ge_5,242,0.11122644181584802,0.021089230677171677,0.3517726988561015,0.1452718933488577,1.3109090594627308,0.2799324940466677,0.5469135667567367,0.8224206421477972,original_242
am_fit,origin:literature_and_population,79,0.1644799724150201,0.04153195481526099,0.20024348097874198,0.05701125689465412,2.0921248410641087,0.43715087074345754,0.5296122225598531,0.5075954154937892,original_242
am_fit,origin:literature_only,163,0.0854164484579671,0.011181407321901402,0.4252132400359261,0.18804852083279688,0.9322830058031674,0.10698782362398873,0.5552988808153491,0.9750046477040343,original_242
am_plus_density,all,242,0.11120261189023331,0.02122819461286025,0.35153750916986914,0.145227933752816,1.3115174597864239,0.2563559690495153,0.5469605654896843,0.8224206421477972,original_242
am_plus_density,kish_ge_5,242,0.11120261189023331,0.02122819461286025,0.35153750916986914,0.145227933752816,1.3115174597864239,0.2563559690495153,0.5469605654896843,0.8224206421477972,original_242
am_plus_density,origin:literature_and_population,79,0.1633855193319179,0.041416299875397966,0.19941416930459616,0.05674434957000264,2.0903985280630453,0.45353390404991184,0.529626161999671,0.5075954154937892,original_242
