probe_type,probe_label,polymer_b_angstrom,polymer_nu,sequence_separation,distance_angstrom,kernel,analysis_role,midpoint_or_half_distance_angstrom,weight,weight_at_zero,relative_to_zero_weight
distance_probe,sine_a5_cutoff,,,,8.141592653589793,normalized_sigmoid,positive_tail_sensitivity,2.0,0.02258573414859385,1.0,0.02258573414859385
distance_probe,sine_a5_cutoff,,,,8.141592653589793,normalized_sigmoid,primary,3.0,0.09653876439831613,1.0,0.09653876439831613
distance_probe,sine_a5_cutoff,,,,8.141592653589793,normalized_sigmoid,positive_tail_sensitivity,5.0,0.2864175498011313,1.0,0.2864175498011313
distance_probe,sine_a5_beyond_cutoff,,,,8.141592654589793,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
distance_probe,sine_a5_beyond_cutoff,,,,8.141592654589793,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
distance_probe,sine_a5_beyond_cutoff,,,,8.141592654589793,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
distance_probe,sine_a5_beyond_cutoff,,,,8.141592654589793,normalized_sigmoid,positive_tail_sensitivity,2.0,0.02258573413632747,1.0,0.02258573413632747
distance_probe,sine_a5_beyond_cutoff,,,,8.141592654589793,normalized_sigmoid,primary,3.0,0.09653876436466968,1.0,0.09653876436466968
distance_probe,sine_a5_beyond_cutoff,,,,8.141592654589793,normalized_sigmoid,positive_tail_sensitivity,5.0,0.28641754974721134,1.0,0.28641754974721134
polymer_probe,historical_baseline,3.8,0.5,0,0.0,historical_sine_pi_cleanup,historical_reference_only,2.0,0.9207354924039483,0.9207354924039483,1.0
polymer_probe,historical_baseline,3.8,0.5,0,0.0,historical_sine_pi_cleanup,historical_reference_only,3.0,0.9987474933020273,0.9987474933020273,1.0
polymer_probe,historical_baseline,3.8,0.5,0,0.0,historical_sine_pi_cleanup,historical_reference_only,5.0,1.0,1.0,1.0
polymer_probe,historical_baseline,3.8,0.5,0,0.0,normalized_sigmoid,positive_tail_sensitivity,2.0,1.0,1.0,1.0
polymer_probe,historical_baseline,3.8,0.5,0,0.0,normalized_sigmoid,primary,3.0,1.0,1.0,1.0
polymer_probe,historical_baseline,3.8,0.5,0,0.0,normalized_sigmoid,positive_tail_sensitivity,5.0,1.0,1.0,1.0
polymer_probe,historical_baseline,3.8,0.5,1,3.8,historical_sine_pi_cleanup,historical_reference_only,2.0,0.10833654518625835,0.9207354924039483,0.11766304881264267
polymer_probe,historical_baseline,3.8,0.5,1,3.8,historical_sine_pi_cleanup,historical_reference_only,3.0,0.3052908288456748,0.9987474933020273,0.30567368718626964
polymer_probe,historical_baseline,3.8,0.5,1,3.8,historical_sine_pi_cleanup,historical_reference_only,5.0,0.7823212366975177,1.0,0.7823212366975177
polymer_probe,historical_baseline,3.8,0.5,1,3.8,normalized_sigmoid,positive_tail_sensitivity,2.0,0.22066223489622444,1.0,0.22066223489622444
polymer_probe,historical_baseline,3.8,0.5,1,3.8,normalized_sigmoid,primary,3.0,0.3983126917792431,1.0,0.3983126917792431
polymer_probe,historical_baseline,3.8,0.5,1,3.8,normalized_sigmoid,positive_tail_sensitivity,5.0,0.6052008413896615,1.0,0.6052008413896615
polymer_probe,historical_baseline,3.8,0.5,2,5.374011537017761,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,2,5.374011537017761,historical_sine_pi_cleanup,historical_reference_only,3.0,0.036374014194138604,0.9987474933020273,0.03641963002468221
polymer_probe,historical_baseline,3.8,0.5,2,5.374011537017761,historical_sine_pi_cleanup,historical_reference_only,5.0,0.40704114761717985,1.0,0.40704114761717985
polymer_probe,historical_baseline,3.8,0.5,2,5.374011537017761,normalized_sigmoid,positive_tail_sensitivity,2.0,0.09928625974930379,1.0,0.09928625974930379
polymer_probe,historical_baseline,3.8,0.5,2,5.374011537017761,normalized_sigmoid,primary,3.0,0.24521095661658243,1.0,0.24521095661658243
polymer_probe,historical_baseline,3.8,0.5,2,5.374011537017761,normalized_sigmoid,positive_tail_sensitivity,5.0,0.4698199960810216,1.0,0.4698199960810216
polymer_probe,historical_baseline,3.8,0.5,3,6.581793068761733,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,3,6.581793068761733,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,3,6.581793068761733,historical_sine_pi_cleanup,historical_reference_only,5.0,0.14450799581216034,1.0,0.14450799581216034
polymer_probe,historical_baseline,3.8,0.5,3,6.581793068761733,normalized_sigmoid,positive_tail_sensitivity,2.0,0.052401385892748724,1.0,0.052401385892748724
polymer_probe,historical_baseline,3.8,0.5,3,6.581793068761733,normalized_sigmoid,primary,3.0,0.16478435640742894,1.0,0.16478435640742894
polymer_probe,historical_baseline,3.8,0.5,3,6.581793068761733,normalized_sigmoid,positive_tail_sensitivity,5.0,0.38118410776256834,1.0,0.38118410776256834
polymer_probe,historical_baseline,3.8,0.5,4,7.6,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,4,7.6,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,4,7.6,historical_sine_pi_cleanup,historical_reference_only,5.0,0.01822090729140352,1.0,0.01822090729140352
polymer_probe,historical_baseline,3.8,0.5,4,7.6,normalized_sigmoid,positive_tail_sensitivity,2.0,0.03029290214540444,1.0,0.03029290214540444
polymer_probe,historical_baseline,3.8,0.5,4,7.6,normalized_sigmoid,primary,3.0,0.11648295413903499,1.0,0.11648295413903499
polymer_probe,historical_baseline,3.8,0.5,4,7.6,normalized_sigmoid,positive_tail_sensitivity,5.0,0.31687750949250754,1.0,0.31687750949250754
polymer_probe,historical_baseline,3.8,0.5,5,8.497058314499201,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,5,8.497058314499201,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,5,8.497058314499201,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
polymer_probe,historical_baseline,3.8,0.5,5,8.497058314499201,normalized_sigmoid,positive_tail_sensitivity,2.0,0.01861679494404206,1.0,0.01861679494404206
polymer_probe,historical_baseline,3.8,0.5,5,8.497058314499201,normalized_sigmoid,primary,3.0,0.08525789002655866,1.0,0.08525789002655866
polymer_probe,historical_baseline,3.8,0.5,5,8.497058314499201,normalized_sigmoid,positive_tail_sensitivity,5.0,0.2677797257706927,1.0,0.2677797257706927
polymer_probe,historical_baseline,3.8,0.5,6,9.308061022576075,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,6,9.308061022576075,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,6,9.308061022576075,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
polymer_probe,historical_baseline,3.8,0.5,6,9.308061022576075,normalized_sigmoid,positive_tail_sensitivity,2.0,0.011964300209138324,1.0,0.011964300209138324
polymer_probe,historical_baseline,3.8,0.5,6,9.308061022576075,normalized_sigmoid,primary,3.0,0.06405243897570082,1.0,0.06405243897570082
polymer_probe,historical_baseline,3.8,0.5,6,9.308061022576075,normalized_sigmoid,positive_tail_sensitivity,5.0,0.2290786069722001,1.0,0.2290786069722001
polymer_probe,historical_baseline,3.8,0.5,7,10.053854982045443,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,7,10.053854982045443,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,7,10.053854982045443,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
polymer_probe,historical_baseline,3.8,0.5,7,10.053854982045443,normalized_sigmoid,positive_tail_sensitivity,2.0,0.007958741102106374,1.0,0.007958741102106374
polymer_probe,historical_baseline,3.8,0.5,7,10.053854982045443,normalized_sigmoid,primary,3.0,0.049120319619260625,1.0,0.049120319619260625
polymer_probe,historical_baseline,3.8,0.5,7,10.053854982045443,normalized_sigmoid,positive_tail_sensitivity,5.0,0.19788009198837936,1.0,0.19788009198837936
polymer_probe,historical_baseline,3.8,0.5,8,10.748023074035522,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,8,10.748023074035522,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,8,10.748023074035522,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
polymer_probe,historical_baseline,3.8,0.5,8,10.748023074035522,normalized_sigmoid,positive_tail_sensitivity,2.0,0.005442412463314769,1.0,0.005442412463314769
polymer_probe,historical_baseline,3.8,0.5,8,10.748023074035522,normalized_sigmoid,primary,3.0,0.03830551332008439,1.0,0.03830551332008439
polymer_probe,historical_baseline,3.8,0.5,8,10.748023074035522,normalized_sigmoid,positive_tail_sensitivity,5.0,0.17229912385530033,1.0,0.17229912385530033
polymer_probe,historical_baseline,3.8,0.5,9,11.399999999999999,historical_sine_pi_cleanup,historical_reference_only,2.0,0.0,0.9207354924039483,0.0
polymer_probe,historical_baseline,3.8,0.5,9,11.399999999999999,historical_sine_pi_cleanup,historical_reference_only,3.0,0.0,0.9987474933020273,0.0
polymer_probe,historical_baseline,3.8,0.5,9,11.399999999999999,historical_sine_pi_cleanup,historical_reference_only,5.0,0.0,1.0,0.0
