gene,universe,method,n_variants,mean,variance,normalized_mae,alpha_empirical,beta_empirical,strength,posterior_median,posterior_lt_01_pct,mean_weight,MAE_as_variance_valid
HNF1A,missense_only,historical_formula_endpoint_clipped,152,0.5289483226132307,0.07377015066113897,0.3514935781285293,1.257598375894756,1.1199465035023142,2.37754487939707,0.6684140274985073,8.552631578947368,0.4980959195075436,False
HNF1A,missense_only,historical_weight_normalized_mse,152,0.5290650181671778,0.1482606495291353,0.35166189206257514,0.3600401753620719,0.3204814297316594,0.6805216050937313,0.8092964536961222,11.18421052631579,0.4980959195075436,False
HNF1A,missense_only,carrier_weighted,152,0.0029742417348263732,0.0016562406710241202,0.0048878862160579555,0.0023509525864707395,0.788086676925167,0.7904376295116378,0.5598357273466562,12.5,1185.6184210526317,False
HNF1A,missense_only,variant_equal_weight,152,0.7196694890529539,0.1365961697535539,0.3265445294366861,0.34324426939042657,0.13370282175570142,0.476947091146128,0.9094735196966693,11.18421052631579,1.0,False
GCK,full_count_dataset,historical_formula_raw_fraction,398,0.8073449217263232,0.031917171361336504,0.23923366415421282,3.127016941290781,0.7461936990937124,3.8732106403844933,0.8468784228389443,0.7537688442211055,0.36171583639547344,False
GCK,full_count_dataset,historical_formula_endpoint_clipped,398,0.8070595704971181,0.03187020934506893,0.23901962101002688,3.136146816972852,0.7497457882546712,3.8858926052275233,0.8465488603960509,0.7537688442211055,0.36171583639547344,False
GCK,full_count_dataset,historical_weight_normalized_mse,398,0.8073449217263232,0.0882382471262348,0.23923366415421282,0.6157760702373616,0.14694139248063598,0.7627174627179976,0.9166392824780543,1.507537688442211,0.36171583639547344,False
GCK,full_count_dataset,carrier_weighted,398,0.20112214069917997,0.14371199844190086,0.3065274046384373,0.023735226904225974,0.09427876609382463,0.1180139929980506,0.9156729999049403,2.763819095477387,11.64321608040201,False
GCK,full_count_dataset,variant_equal_weight,398,0.9069939560246101,0.050287276971047325,0.1496868831649204,0.6144705969428828,0.06300976867733744,0.6774803656202202,0.9624378502611918,1.507537688442211,1.0,False
GCK,histogram_subset,historical_formula_raw_fraction,391,0.8257026498832245,0.027560552816269342,0.22074361511264626,3.4860140377293107,0.7358617649247347,4.221875802654045,0.8590809523752501,0.2557544757033248,0.35849932199858675,False
GCK,histogram_subset,historical_formula_endpoint_clipped,391,0.825409123198382,0.027516955184675125,0.22053495456488922,3.4973366926707166,0.7397580938744925,4.237094786545209,0.8587464760471722,0.2557544757033248,0.35849932199858675,False
GCK,histogram_subset,historical_weight_normalized_mse,391,0.8257026498832245,0.07687755910561524,0.22074361511264626,0.7200448592758618,0.15199407553643968,0.8720389348123014,0.9188082722479919,0.7672634271099744,0.35849932199858675,False
GCK,histogram_subset,carrier_weighted,391,0.4454633204633205,0.21132307541330325,0.4460605462053339,0.07526027245416832,0.0936880314732821,0.16894830392745042,0.9198527161906923,2.0460358056265986,5.29923273657289,False
GCK,histogram_subset,variant_equal_weight,391,0.9142137045717199,0.044602813680491744,0.13915893519879757,0.6932867789458554,0.06505536302699792,0.7583421419728533,0.963001874621508,0.7672634271099744,1.0,False
GCK,missense_only,historical_formula_raw_fraction,268,0.7913311018948813,0.0355194304312777,0.23895381441091001,2.88748602892215,0.7614114073190421,3.6488974362411923,0.8362167766095799,0.3731343283582089,0.4085061214362688,False
GCK,missense_only,historical_formula_endpoint_clipped,268,0.7910798351454302,0.03546649789991068,0.23875608265582757,2.8953220705805136,0.7646398472305307,3.659961917811044,0.835912854929572,0.3731343283582089,0.4085061214362688,False
GCK,missense_only,historical_weight_normalized_mse,268,0.7913311018948813,0.08694956713597032,0.23895381441091001,0.711488215688487,0.1876148449454163,0.8991030606339032,0.9012087080293619,1.1194029850746268,0.4085061214362688,False
GCK,missense_only,carrier_weighted,268,0.3780687397708674,0.19752748223036143,0.4238657884233675,0.07197673334129964,0.11840328428438904,0.19038001762568868,0.9005332057568018,2.9850746268656714,6.83955223880597,False
