pmid,eligibility_reason,affected,unaffected,female_affected,female_unaffected
30287823,female_SD1_unique_integer_from_carrier_frequency,293.0,424.0,293.0,424.0
30287823,superseded_by_female_SD1_source_rows,561.0,1377.0,0.0,0.0
30309222,unresolved_source_sex_germline_or_breast_endpoint,10.0,0.0,0.0,0.0
30333000,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
30333958,unresolved_source_sex_germline_or_breast_endpoint,13.0,0.0,0.0,0.0
30362333,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
30400234,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
30410870,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
30420702,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
30530636,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
30547773,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
30606148,unresolved_source_sex_germline_or_breast_endpoint,9.0,0.0,0.0,0.0
30630528,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
30652428,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
30803554,unresolved_source_sex_germline_or_breast_endpoint,2.0,3.0,0.0,0.0
30867769,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
30940775,unresolved_source_sex_germline_or_breast_endpoint,3.0,4.0,0.0,0.0
30968603,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
30972954,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
31002019,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
31060517,unresolved_source_sex_germline_or_breast_endpoint,1.0,4.0,0.0,0.0
31060593,unresolved_source_sex_germline_or_breast_endpoint,16.0,1.0,0.0,0.0
31090900,unresolved_source_sex_germline_or_breast_endpoint,15.0,0.0,0.0,0.0
31131559,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
31143373,unresolved_source_sex_germline_or_breast_endpoint,24.0,0.0,0.0,0.0
31174498,unresolved_source_sex_germline_or_breast_endpoint,13.0,0.0,0.0,0.0
31254045,unresolved_source_sex_germline_or_breast_endpoint,42.0,0.0,0.0,0.0
31263571,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
31300551,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
31320873,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
31336956,unresolved_source_sex_germline_or_breast_endpoint,11.0,0.0,0.0,0.0
31341521,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
31395037,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
31477031,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
31518337,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
31563594,unresolved_source_sex_germline_or_breast_endpoint,2.0,1.0,0.0,0.0
31565484,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
31608315,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
31631483,unresolved_source_sex_germline_or_breast_endpoint,2.0,1.0,0.0,0.0
31666926,unresolved_source_sex_germline_or_breast_endpoint,12.0,0.0,0.0,0.0
31706072,unresolved_source_sex_germline_or_breast_endpoint,11.0,0.0,0.0,0.0
31742824,unresolved_source_sex_germline_or_breast_endpoint,3.0,2.0,0.0,0.0
31754952,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
31771539,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
31774011,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
31780705,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
31782247,unresolved_source_sex_germline_or_breast_endpoint,2.0,6.0,0.0,0.0
31811167,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
31850198,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
31869745,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
31912679,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
31980407,unresolved_source_sex_germline_or_breast_endpoint,6.0,0.0,0.0,0.0
32019277,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
32029870,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
32058061,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
32091409,unresolved_source_sex_germline_or_breast_endpoint,13.0,0.0,0.0,0.0
32098980,unresolved_source_sex_germline_or_breast_endpoint,14.0,0.0,0.0,0.0
32132887,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32164585,unresolved_source_sex_germline_or_breast_endpoint,4.0,0.0,0.0,0.0
32171277,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32206145,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
32211327,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
32231682,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
32284662,unresolved_source_sex_germline_or_breast_endpoint,8.0,0.0,0.0,0.0
32300229,unresolved_source_sex_germline_or_breast_endpoint,17.0,2.0,0.0,0.0
32322271,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32354836,unresolved_source_sex_germline_or_breast_endpoint,5.0,0.0,0.0,0.0
32356124,unresolved_source_sex_germline_or_breast_endpoint,3.0,4.0,0.0,0.0
32365798,unresolved_source_sex_germline_or_breast_endpoint,3.0,0.0,0.0,0.0
32380732,unresolved_source_sex_germline_or_breast_endpoint,35.0,51.0,0.0,0.0
32455662,unresolved_source_sex_germline_or_breast_endpoint,7.0,0.0,0.0,0.0
32468491,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32548945,unresolved_source_sex_germline_or_breast_endpoint,1.0,0.0,0.0,0.0
32579544,unresolved_source_sex_germline_or_breast_endpoint,2.0,7.0,0.0,0.0
32686918,unresolved_source_sex_germline_or_breast_endpoint,4.0,1.0,0.0,0.0
32761968,unresolved_source_sex_germline_or_breast_endpoint,9.0,0.0,0.0,0.0
32772980,unresolved_source_sex_germline_or_breast_endpoint,16.0,0.0,0.0,0.0
32776218,unresolved_source_sex_germline_or_breast_endpoint,8.0,5.0,0.0,0.0
32778078,unresolved_source_sex_germline_or_breast_endpoint,2.0,0.0,0.0,0.0
32782288,unresolved_source_sex_germline_or_breast_endpoint,10.0,0.0,0.0,0.0
