gene,metric,bin_left,bin_right,variants,pct
LDLR,prior_mean,0.35000000000000003,0.4,8,0.9184845005740528
LDLR,prior_mean,0.4,0.45,9,1.0332950631458093
LDLR,prior_mean,0.45,0.5,3,0.34443168771526983
LDLR,prior_mean,0.5,0.55,9,1.0332950631458093
LDLR,prior_mean,0.55,0.6000000000000001,4,0.4592422502870264
LDLR,prior_mean,0.6000000000000001,0.65,4,0.4592422502870264
LDLR,prior_mean,0.65,0.7000000000000001,6,0.6888633754305397
LDLR,prior_mean,0.7000000000000001,0.75,14,1.6073478760045925
LDLR,prior_mean,0.75,0.8,11,1.2629161882893227
LDLR,prior_mean,0.8,0.8500000000000001,11,1.2629161882893227
LDLR,prior_mean,0.8500000000000001,0.9,19,2.1814006888633752
LDLR,prior_mean,0.9,0.9500000000000001,479,54.99425947187141
LDLR,prior_mean,0.9500000000000001,1.0,152,17.451205510907002
LDLR,count_fraction,0.0,0.05,18,2.0665901262916186
LDLR,count_fraction,0.05,0.1,12,1.3777267508610793
LDLR,count_fraction,0.1,0.15000000000000002,9,1.0332950631458093
LDLR,count_fraction,0.15000000000000002,0.2,6,0.6888633754305397
LDLR,count_fraction,0.2,0.25,13,1.492537313432836
LDLR,count_fraction,0.25,0.30000000000000004,14,1.6073478760045925
LDLR,count_fraction,0.30000000000000004,0.35000000000000003,26,2.985074626865672
LDLR,count_fraction,0.35000000000000003,0.4,5,0.574052812858783
LDLR,count_fraction,0.4,0.45,8,0.9184845005740528
LDLR,count_fraction,0.45,0.5,1,0.1148105625717566
LDLR,count_fraction,0.5,0.55,57,6.544202066590127
LDLR,count_fraction,0.55,0.6000000000000001,11,1.2629161882893227
LDLR,count_fraction,0.6000000000000001,0.65,5,0.574052812858783
LDLR,count_fraction,0.65,0.7000000000000001,20,2.296211251435132
LDLR,count_fraction,0.7000000000000001,0.75,7,0.8036739380022963
LDLR,count_fraction,0.75,0.8,12,1.3777267508610793
LDLR,count_fraction,0.8,0.8500000000000001,16,1.8369690011481057
LDLR,count_fraction,0.8500000000000001,0.9,12,1.3777267508610793
LDLR,count_fraction,0.9,0.9500000000000001,8,0.9184845005740528
LDLR,count_fraction,0.9500000000000001,1.0,611,70.14925373134328
LDLR,posterior_mean,0.0,0.05,18,2.0665901262916186
LDLR,posterior_mean,0.05,0.1,20,2.296211251435132
LDLR,posterior_mean,0.1,0.15000000000000002,35,4.018369690011481
LDLR,posterior_mean,0.15000000000000002,0.2,19,2.1814006888633752
LDLR,posterior_mean,0.2,0.25,7,0.8036739380022963
LDLR,posterior_mean,0.25,0.30000000000000004,14,1.6073478760045925
LDLR,posterior_mean,0.30000000000000004,0.35000000000000003,17,1.9517795637198623
LDLR,posterior_mean,0.35000000000000003,0.4,6,0.6888633754305397
LDLR,posterior_mean,0.4,0.45,8,0.9184845005740528
LDLR,posterior_mean,0.45,0.5,9,1.0332950631458093
LDLR,posterior_mean,0.5,0.55,7,0.8036739380022963
LDLR,posterior_mean,0.55,0.6000000000000001,8,0.9184845005740528
LDLR,posterior_mean,0.6000000000000001,0.65,14,1.6073478760045925
LDLR,posterior_mean,0.65,0.7000000000000001,15,1.722158438576349
LDLR,posterior_mean,0.7000000000000001,0.75,16,1.8369690011481057
LDLR,posterior_mean,0.75,0.8,31,3.5591274397244548
LDLR,posterior_mean,0.8,0.8500000000000001,26,2.985074626865672
LDLR,posterior_mean,0.8500000000000001,0.9,56,6.42939150401837
LDLR,posterior_mean,0.9,0.9500000000000001,327,37.54305396096441
LDLR,posterior_mean,0.9500000000000001,1.0,218,25.02870264064294
BRCA2,prior_mean,0.0,0.05,3241,54.360952700436094
BRCA2,prior_mean,0.05,0.1,76,1.274740020127474
BRCA2,prior_mean,0.1,0.15000000000000002,41,0.6876886950687688
BRCA2,prior_mean,0.15000000000000002,0.2,25,0.41932237504193226
BRCA2,prior_mean,0.2,0.25,21,0.3522307950352231
BRCA2,prior_mean,0.25,0.30000000000000004,1953,32.75746393827575
BRCA2,prior_mean,0.30000000000000004,0.35000000000000003,15,0.25159342502515936
BRCA2,prior_mean,0.35000000000000003,0.4,14,0.23482053002348205
BRCA2,prior_mean,0.4,0.45,11,0.18450184501845018
BRCA2,prior_mean,0.45,0.5,15,0.25159342502515936
BRCA2,prior_mean,0.5,0.55,12,0.20127474002012746
BRCA2,prior_mean,0.55,0.6000000000000001,17,0.2851392150285139
BRCA2,prior_mean,0.6000000000000001,0.65,359,6.021469305602147
BRCA2,prior_mean,0.65,0.7000000000000001,19,0.3186850050318685
BRCA2,prior_mean,0.7000000000000001,0.75,20,0.3354579000335458
BRCA2,prior_mean,0.75,0.8,24,0.4025494800402549
BRCA2,prior_mean,0.8,0.8500000000000001,23,0.38577658503857765
BRCA2,prior_mean,0.8500000000000001,0.9,45,0.7547802750754781
BRCA2,prior_mean,0.9,0.9500000000000001,31,0.5199597450519959
BRCA2,prior_mean,0.9500000000000001,1.0,0,0.0
BRCA2,count_fraction,0.0,0.05,208,3.4887621603488763
BRCA2,count_fraction,0.05,0.1,40,0.6709158000670916
BRCA2,count_fraction,0.1,0.15000000000000002,65,1.0902381751090238
BRCA2,count_fraction,0.15000000000000002,0.2,30,0.5031868500503187
BRCA2,count_fraction,0.2,0.25,60,1.0063737001006374
BRCA2,count_fraction,0.25,0.30000000000000004,73,1.2244213351224422
BRCA2,count_fraction,0.30000000000000004,0.35000000000000003,185,3.1029855753102984
BRCA2,count_fraction,0.35000000000000003,0.4,8,0.13418316001341832
