model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,gene,cohort
intercept_only,all,1206,0.11113864915400087,0.02415657538871437,0.2412637596479721,0.1086263358029395,0.9839179288659787,,0.15476100801772008,0.16063679853228469,LDLR,all_supported
sequence_fit,all,1206,0.10312833548838603,0.022459903982457743,0.2320510685171364,0.10300225796775442,0.942935652164432,0.2669825125708893,0.15475463396481678,0.16063679853228469,LDLR,all_supported
sequence_unfitted,all,1206,0.10517372199431087,0.02249544833023911,0.2299304836891918,0.10184968550216798,0.9336580910048178,0.26859017138945784,0.15568045771804395,0.16063679853228469,LDLR,all_supported
am_fit,all,1199,0.08995180006318974,0.018471722022214386,0.21162224368464094,0.08965967668881196,0.8530636387712308,0.4219973625494995,0.15421045530334623,0.1587030333267205,LDLR,am_common
am_plus_density,all,1199,0.0896581115982454,0.018340813226089436,0.21049473177128017,0.08902125878911157,0.8492905155265966,0.4363345631257599,0.15422490440475703,0.1587030333267205,LDLR,am_common
am_plus_sequence,all,1199,0.08934521248324068,0.018251486642082596,0.21021309620101541,0.08879530443957652,0.8477963286196731,0.4372576494892804,0.1542160629166594,0.1587030333267205,LDLR,am_common
density_fit,all,1199,0.10099478683254225,0.021833125198098508,0.22733099473251953,0.09976202803721029,0.92197356096073,0.3249207227559757,0.15421906431843097,0.1587030333267205,LDLR,am_common
density_unfitted,all,1199,0.10603655240323692,0.021835606363778588,0.2296520159160271,0.09866779588625302,0.9182866016680423,0.3258427180194773,0.16254493488128585,0.1587030333267205,LDLR,am_common
empirical_prior,all,1199,0.11027451780107753,0.024038088999509172,0.23971764481909402,0.10738400917626949,0.9763546391911476,,0.1537761078600645,0.1587030333267205,LDLR,am_common
intercept_only,all,1199,0.11061522710665782,0.024078050130190896,0.24005829661203254,0.10745674005730406,0.9770896277668398,,0.15421293938808245,0.1587030333267205,LDLR,am_common
sequence_fit,all,1199,0.10243112565731113,0.022325376743057564,0.23046284387873792,0.10160468716638903,0.9346409542846655,0.2738687905207629,0.15420664229013198,0.1587030333267205,LDLR,am_common
sequence_unfitted,all,1199,0.10475184785979287,0.022338979455797266,0.2288017870226766,0.10046726620383072,0.9257736352579848,0.2753800966781675,0.15579161203929695,0.1587030333267205,LDLR,am_common
density_fit,all,127,0.07710613070476671,0.006962553683870694,0.4024059435605142,0.25497038441108016,1.180807453436895,-0.23334031134405345,0.17854877610057185,0.40880918385213394,BRCA2,all_supported
density_unfitted,all,127,0.07653782876657297,0.007815422543204832,0.40150718953851094,0.25458087169241345,1.1962133360816538,-0.02030868015215815,0.17876451081344022,0.40880918385213394,BRCA2,all_supported
empirical_prior,all,127,0.07602910436110213,0.007528632208185932,0.40132891721684966,0.2679916985338273,1.2057108733975062,,0.1485981658574783,0.40880918385213394,BRCA2,all_supported
intercept_only,all,127,0.0759237322228857,0.006748313067066077,0.4012235450786331,0.25391780342299164,1.1759597437391596,,0.17836683044960194,0.40880918385213394,BRCA2,all_supported
