model,support_stratum,n_variants,mae_empirical_posterior,mse_empirical_posterior,mae_observed_fraction,mse_observed_fraction,mean_beta_binomial_nll,spearman_observed_fraction,mean_prediction,mean_observed_fraction,cohort
empirical_prior,origin:literature_only,163,0.4153922282180674,0.19097779332776338,0.9551145648566675,0.9231097802240343,4.6940635759974825,,0.0198900828473669,0.9750046477040343,all_common
empirical_prior,origin:population_only,368,0.00839695299292916,8.175910849446285e-05,0.019890082847366902,0.00039561539567511885,0.03225799488310305,,0.019890082847366902,0.0,all_common
intercept_only,all,610,0.19712475847013744,0.05042057079137636,0.36556201027852037,0.21720753628985923,1.1704451758944128,-0.8623718762022041,0.17090633354796744,0.32627179573732285,all_common
intercept_only,kish_ge_5,604,0.19747677210573347,0.050661504923817574,0.3674930428605389,0.2190741709494831,1.1778379571230404,-0.8634566515215047,0.17090370046709968,0.3295129062910049,all_common
intercept_only,kish_lt_5,6,0.161688719153472,0.026166534792293968,0.17117139702198955,0.02929964722105804,0.42623853221253666,,0.17117139702198955,0.0,all_common
intercept_only,origin:literature_and_population,79,0.2319198751717091,0.08767175910816576,0.36536938079941395,0.18274769448208833,2.75572950031481,-0.9645747441112194,0.17058269083374678,0.5075954154937892,all_common
intercept_only,origin:literature_only,163,0.26481009242307835,0.08861204069267391,0.8045324290616785,0.6581452453981161,2.375271908742544,0.053219597480132844,0.17047221864235584,0.9750046477040343,all_common
intercept_only,origin:population_only,368,0.1596749659327637,0.0255073820116539,0.1711680957872015,0.02929851704575055,0.2964663196893667,,0.1711680957872015,0.0,all_common
sequence_fit,all,610,0.17858933578074188,0.04656814277626668,0.3457752672069898,0.20299389069623192,1.1105751722059436,0.3364601089743851,0.17096374711804904,0.32627179573732285,all_common
sequence_fit,kish_ge_5,604,0.17951548177352697,0.046958098613380225,0.34826800181127565,0.2049210145200646,1.1193242884956607,0.3298733222312226,0.17171994344330563,0.3295129062910049,all_common
sequence_fit,kish_lt_5,6,0.0853573058403716,0.0073125885068374245,0.09483998370888917,0.008996759097075003,0.22983079904108247,,0.09483998370888917,0.0,all_common
sequence_fit,origin:literature_and_population,79,0.21962944070701093,0.07793438797242797,0.3496870378792775,0.16655090096294536,2.693643705943556,0.33880358316448755,0.1863770652969975,0.5075954154937892,all_common
sequence_fit,origin:literature_only,163,0.2383451060799787,0.0814686143270788,0.7750285183926728,0.6160848500760072,2.2625300487147095,0.023485213361856116,0.1999761293113614,0.9750046477040343,all_common
sequence_fit,origin:population_only,368,0.1433111867373971,0.024375995403225614,0.15480431659183486,0.02784489561478159,0.2604907726510515,,0.15480431659183486,0.0,all_common
sequence_unfitted,all,610,0.17052072669824128,0.04639711861887204,0.3366675140978363,0.19819736385135578,1.0970890774390807,0.3405064314561004,0.17118523822708828,0.32627179573732285,all_common
sequence_unfitted,kish_ge_5,604,0.17184240777574325,0.046843688123772285,0.3395454611640576,0.20014418905227985,1.1068721686451366,0.33399236103453134,0.17241932162571932,0.3295129062910049,all_common
