gene,dimension,stratum,variants,posterior_median,below_0_10,at_or_above_0_50,at_or_above_0_90,gnomad_zero,gnomad_positive,gnomad_count_sum,affected_sum,literature_carrier_sum,literature_n_median,n_one,affected_one_n_one,n_at_most_5,literature_n_at_most_5,all_literature_carriers_affected,zero_affected,truncating,missing_alphamissense,clinvar_none,prior_median,prior_weight_median,posterior_interval_width_median
HNF1A,band,literature_has_unaffected,28,0.29822438048168975,11,11,0,10,18,95603.0,266.0,381.0,5.0,1,0,9,15,0,4,7,7,8,0.2797583174099317,0.4464285714285714,0.2926851940337172
HNF1A,clinvar_simple,B/LB,20,0.04965381415942955,15,0,0,1,19,179366.0,207.0,266.0,2.0,0,0,2,13,9,2,0,0,0,0.0012686042985949999,0.2857142857142857,0.11695861761020065
HNF1A,clinvar_simple,Conflicting,1,0.0485187834407978,1,0,0,0,1,50.0,3.0,3.0,3.0,0,0,0,1,1,0,0,0,0,0.0095593120758631,0.15873015873015872,0.1055768869399806
HNF1A,clinvar_simple,P/LP,59,0.8520166517528273,1,56,14,41,18,24.0,208.0,214.0,2.0,18,18,45,46,54,0,14,15,0,0.8651638785985982,0.7692307692307693,0.3387160903579848
HNF1A,clinvar_simple,VUS,38,0.2417526054591341,11,17,1,15,23,161.0,84.0,95.0,1.0,10,10,23,35,34,1,0,0,0,0.06231394011954385,0.7692307692307693,0.3205690727725098
HNF1A,clinvar_simple,none,115,0.8453428029595165,10,96,22,110,5,9.0,259.0,298.0,1.0,73,72,107,108,107,1,56,73,115,0.8286423361924622,0.9090909090909091,0.3447800848632703
HNF1A,vclass,frameshift,35,0.8448206502301503,0,34,2,35,0,0.0,139.0,174.0,2.0,16,16,30,30,31,0,35,35,35,0.8286423361924622,0.8333333333333334,0.38533784526072046
HNF1A,vclass,indel_cdna,3,0.9513866074110796,0,3,3,3,0,0.0,3.0,3.0,1.0,3,3,3,3,3,0,0,3,3,0.9471708370899312,0.9090909090909091,0.24525881217792955
HNF1A,vclass,inframe_indel,6,0.9542729670593686,0,6,6,6,0,0.0,14.0,14.0,1.5,3,3,5,5,6,0,0,6,6,0.9471708370899312,0.8712121212121212,0.23472793005739379
HNF1A,vclass,missense,152,0.7634602480090031,38,90,25,90,62,179602.0,536.0,612.0,1.5,54,53,106,131,132,4,0,8,49,0.7693072256334428,0.7692307692307693,0.3172002176332098
HNF1A,vclass,nonsense,21,0.8436741722964525,0,21,0,18,3,4.0,41.0,43.0,1.0,15,15,19,19,19,0,21,21,8,0.8286423361924622,0.9090909090909091,0.39758781554282574
HNF1A,vclass,splice,13,0.8437136733313207,0,13,0,13,0,0.0,23.0,24.0,1.0,9,9,12,12,12,0,13,13,13,0.8286423361924622,0.9090909090909091,0.3976081235895138
HNF1A,vclass,start_lost,1,0.8557394723884242,0,1,0,1,0,0.0,2.0,2.0,2.0,0,0,1,1,1,0,1,1,0,0.8286423361924622,0.8333333333333334,0.3797905806199565
HNF1A,vclass,substitution_cdna,2,0.5367885337970573,0,1,1,1,1,4.0,3.0,4.0,2.0,1,1,1,2,1,0,0,1,1,0.4741870014358401,0.7486631016042781,0.26301270642663777
